date,hits,keyword,geo,time,gprop,category
2020-11-08T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-11-15T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-11-22T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-11-29T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-12-06T00:00:00Z,28,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-12-13T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-12-20T00:00:00Z,32,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2020-12-27T00:00:00Z,46,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-01-03T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-01-10T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-01-17T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-01-24T00:00:00Z,85,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-01-31T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-02-07T00:00:00Z,98,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-02-14T00:00:00Z,15,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-02-21T00:00:00Z,15,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-02-28T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-03-07T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-03-14T00:00:00Z,13,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-03-21T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-03-28T00:00:00Z,46,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-04-04T00:00:00Z,15,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-04-11T00:00:00Z,29,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-04-18T00:00:00Z,14,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-04-25T00:00:00Z,29,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-05-02T00:00:00Z,60,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-05-09T00:00:00Z,0,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-05-16T00:00:00Z,29,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-05-23T00:00:00Z,15,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-05-30T00:00:00Z,15,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
2021-06-06T00:00:00Z,15,Fascisti Italiani,IT,2020-01-01 2022-02-28,web,0
