date,hits,keyword,geo,time,gprop,category
2021-08-01T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-08-15T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2021-08-22T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-08-29T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2021-09-05T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2021-09-12T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2021-10-03T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2021-10-10T00:00:00Z,25,casapound,IT,2020-01-01 2022-02-28,web,0
2021-10-17T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2022-01-16T00:00:00Z,11,casapound,IT,2020-01-01 2022-02-28,web,0
2022-01-23T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2022-01-30T00:00:00Z,14,casapound,IT,2020-01-01 2022-02-28,web,0
2022-02-27T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2020-04-19T00:00:00Z,6,roberto fiore,IT,2020-01-01 2022-02-28,web,0
2020-04-26T00:00:00Z,15,roberto fiore,IT,2020-01-01 2022-02-28,web,0
2021-10-10T00:00:00Z,72,roberto fiore,IT,2020-01-01 2022-02-28,web,0
2021-10-10T00:00:00Z,20,roberto fiore forza nuova,IT,2020-01-01 2022-02-28,web,0
2020-01-05T00:00:00Z,17,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-01-12T00:00:00Z,19,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-01-19T00:00:00Z,22,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-01-26T00:00:00Z,38,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-02-02T00:00:00Z,16,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-02-09T00:00:00Z,16,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-02-16T00:00:00Z,19,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-02-23T00:00:00Z,15,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-03-01T00:00:00Z,17,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-03-08T00:00:00Z,56,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-03-15T00:00:00Z,36,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-03-22T00:00:00Z,24,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-03-29T00:00:00Z,20,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-04-05T00:00:00Z,18,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-04-12T00:00:00Z,28,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-04-19T00:00:00Z,25,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-04-26T00:00:00Z,26,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-05-03T00:00:00Z,21,forza italia,IT,2020-01-01 2022-02-28,web,0
2020-05-10T00:00:00Z,19,forza italia,IT,2020-01-01 2022-02-28,web,0
